student_id,10th_marks,12th_marks,sem1_gpa,sem2_gpa,attendance,backlogs,nm_courses,dropout_risk
STU067,80,91,8.88,9.56,63,1,1,0
STU068,75,90,7.27,6.05,79,2,1,0
STU069,77,89,7.62,8.11,94,0,7,0
STU070,83,73,7.2,8.16,68,3,1,1
STU071,85,74,7.0,8.67,79,3,8,0
STU072,84,72,7.8,5.66,76,4,0,0
STU073,88,95,5.78,8.58,84,0,8,0
STU074,74,68,5.91,9.55,74,2,0,0
STU075,60,69,9.31,5.9,75,3,9,0
STU076,84,85,9.73,6.19,98,0,9,0
STU077,66,55,6.87,9.86,86,3,1,0
STU078,68,57,6.35,5.9,75,2,5,0
STU079,83,70,8.22,9.27,89,3,5,0
STU080,60,77,7.04,7.46,86,4,0,0
STU081,67,65,5.13,6.24,84,4,6,0
STU082,83,66,5.78,9.35,93,3,7,0
STU083,70,64,8.58,7.23,66,0,1,0
STU084,76,86,8.29,7.57,95,0,7,0
STU085,67,70,5.14,6.8,72,0,8,0
STU086,94,62,6.11,7.96,75,3,5,0
STU087,94,92,6.16,5.82,67,0,4,0
STU088,92,66,8.36,6.96,75,2,8,0
STU089,64,78,5.1,9.85,62,4,8,1
STU090,98,82,5.52,6.29,94,2,0,0
STU091,87,62,9.0,8.28,61,0,2,0
STU092,66,82,5.89,6.63,77,2,8,0
STU093,68,90,8.26,8.87,98,0,1,0
STU094,67,80,6.19,5.65,86,3,3,0
STU095,71,62,5.5,9.85,65,2,3,1
STU096,93,82,6.22,7.27,76,3,1,0
STU097,92,82,8.61,6.18,76,3,2,0
STU098,82,91,9.28,5.37,97,1,2,0
STU099,83,95,9.15,5.85,79,0,0,0
STU100,96,90,6.99,7.6,76,4,5,0
STU101,94,81,8.34,6.69,82,0,7,0
STU102,81,71,6.02,9.14,83,4,2,0
STU103,86,63,6.47,7.15,67,0,4,0
STU104,94,87,9.48,6.24,72,3,0,0
STU105,60,74,5.07,8.09,56,2,9,1
STU106,94,67,5.43,8.53,83,2,6,0
STU107,96,82,6.04,5.84,75,1,9,0
STU108,73,83,5.13,5.84,69,4,0,1
STU109,62,67,5.91,5.18,81,4,8,0
STU110,60,89,7.92,8.68,85,4,7,0
STU111,64,60,7.11,8.32,69,3,6,1
STU112,85,72,9.46,7.37,77,4,9,0
STU113,73,59,9.09,9.22,78,2,6,0
STU114,98,79,6.71,9.03,98,3,4,0
STU115,86,56,6.3,7.93,67,0,4,0
STU116,68,64,6.9,9.34,76,4,4,0
STU117,74,84,7.95,6.03,97,4,0,0
STU118,74,59,6.34,5.56,91,0,7,0
STU119,85,87,8.12,6.35,87,4,0,0
STU120,72,55,7.05,5.29,57,0,3,0
STU121,91,72,7.76,7.66,73,3,8,0
STU122,98,86,7.18,9.68,77,2,8,0
STU123,91,65,6.47,5.2,83,0,4,0
STU124,63,75,9.74,5.61,84,1,3,0
STU125,89,80,8.82,7.26,93,0,2,0
STU126,96,79,5.7,9.67,98,4,2,0
STU127,82,76,9.34,6.58,79,3,4,0
STU128,98,81,7.44,7.54,91,3,9,0
STU129,74,67,9.47,5.21,62,0,0,0
STU130,88,87,9.0,5.74,96,2,4,0
STU131,95,88,7.13,9.93,70,1,5,0
STU132,72,95,5.11,9.83,62,3,6,1
STU133,91,89,6.34,5.02,55,4,8,1
STU134,66,55,7.71,9.76,98,4,2,0
STU135,81,75,8.17,8.2,59,2,1,1
STU136,87,60,6.29,9.34,57,3,2,1
STU137,61,82,5.7,7.27,55,0,8,0
STU138,65,71,9.17,7.58,58,4,6,1
STU139,87,59,9.92,7.44,94,2,8,0
STU140,87,85,7.63,8.33,89,3,1,0
STU141,79,59,5.86,5.7,86,3,4,0
STU142,89,92,6.36,5.15,96,3,3,0
STU143,70,57,5.09,6.54,88,3,1,0
STU144,87,77,9.57,8.52,97,3,8,0
STU145,84,91,5.59,6.01,79,4,8,0
STU146,98,91,7.88,8.37,64,2,5,1
STU147,92,64,6.37,9.85,75,3,5,0
STU148,60,64,7.77,5.47,93,1,7,0
STU149,86,73,8.26,8.36,81,1,5,0
STU150,72,71,9.15,7.22,81,2,0,0
STU151,62,75,6.03,9.34,56,0,3,0
STU152,98,68,5.05,5.89,95,0,6,0
STU153,65,63,5.68,8.46,67,0,1,0
STU154,67,55,9.5,9.19,63,1,8,0
STU155,86,67,9.37,9.72,90,0,7,0
STU156,68,58,7.99,8.42,76,4,7,0
STU157,96,55,8.0,7.49,96,3,6,0
STU158,92,94,8.33,8.09,80,1,3,0
STU159,83,86,5.88,9.34,66,2,1,1
STU160,74,88,9.57,7.85,71,2,2,0
STU161,91,82,7.09,5.15,68,3,5,1
STU162,91,85,6.92,9.65,68,1,4,0
STU163,83,62,7.59,8.45,88,0,7,0
STU164,71,93,5.23,8.38,74,0,5,0
STU165,98,80,5.83,6.08,65,4,5,1
STU166,61,88,8.69,8.29,70,4,0,0
STU167,62,57,5.41,6.97,85,0,3,0
STU168,96,66,8.02,8.26,60,2,4,1
STU169,76,55,6.23,5.53,73,2,2,0
STU170,61,59,6.95,8.29,91,4,8,0
STU171,61,84,6.44,10.0,58,3,0,1
STU172,87,84,6.78,5.24,58,0,5,0
STU173,82,71,8.6,9.89,74,4,5,0
STU174,96,77,6.49,7.03,64,4,9,1
STU175,91,69,7.83,9.35,78,0,4,0
STU176,92,91,7.38,8.91,89,0,4,0
STU177,60,75,8.32,7.84,80,2,9,0
STU178,78,68,9.68,8.69,91,3,4,0
STU179,61,56,8.66,9.39,92,3,5,0
STU180,85,65,6.07,7.02,75,0,7,0
STU181,91,93,5.16,6.64,94,1,1,0
STU182,65,92,6.31,8.34,93,4,5,0
STU183,91,88,7.98,9.04,75,4,0,0
STU184,63,92,5.26,8.81,64,0,3,0
STU185,70,88,7.48,8.99,92,1,9,0
STU186,76,72,7.98,7.18,58,2,2,1
STU187,97,84,6.67,9.09,99,0,8,0
STU188,83,69,8.85,5.6,74,0,2,0
STU189,64,81,5.53,7.72,71,4,5,0
STU190,93,88,5.38,5.03,61,0,0,0
STU191,65,92,8.64,6.62,58,0,5,0
STU192,81,87,7.48,6.83,83,0,3,0
STU193,70,78,8.44,6.98,68,4,7,1
STU194,75,69,7.17,8.48,57,2,8,1
STU195,92,84,6.23,6.94,78,2,3,0
STU196,68,96,9.1,7.24,91,0,9,0
STU197,65,71,9.0,6.19,70,4,9,0
STU198,75,59,8.47,6.87,58,2,5,1
STU199,88,83,6.36,6.14,78,2,0,0
STU200,62,58,7.95,5.37,88,2,3,0
STU201,79,64,6.8,8.02,84,4,6,0
STU202,95,71,5.46,8.34,72,4,0,0
STU203,78,64,9.59,8.1,73,0,7,0
STU204,85,71,5.68,7.32,85,3,9,0
STU205,62,74,9.75,6.9,73,2,5,0
STU206,78,78,7.23,9.32,73,3,4,0
STU207,79,59,5.93,7.6,76,4,9,0
STU208,91,88,7.71,7.4,78,4,8,0
STU209,66,60,9.36,5.13,99,4,1,0
STU210,92,56,8.66,6.71,66,3,4,1
STU211,98,67,9.03,6.9,84,4,5,0
STU212,77,97,8.29,6.99,92,0,6,0
STU213,60,97,8.46,7.9,85,4,4,0
STU214,70,65,9.25,7.67,90,1,8,0
STU215,87,77,6.25,8.04,73,3,0,0
STU216,84,70,7.45,8.82,99,1,6,0
STU217,82,85,6.11,9.06,90,4,9,0
STU218,90,65,9.94,8.59,84,0,6,0
STU219,89,70,9.72,9.78,87,2,3,0
STU220,94,62,5.2,5.09,72,4,8,0
STU221,66,58,8.53,5.98,82,0,4,0
STU222,75,94,9.63,5.04,65,3,3,1
STU223,85,58,5.9,8.24,99,1,6,0
STU224,61,79,7.84,9.49,87,1,3,0
STU225,60,57,9.58,6.22,71,1,2,0
STU226,71,86,5.17,9.64,60,3,8,1
STU227,64,57,8.49,5.3,58,0,7,0
STU228,96,81,6.49,9.67,74,3,0,0
STU229,91,83,9.62,6.76,81,1,6,0
STU230,68,86,9.86,5.51,69,4,8,1
STU231,94,73,9.72,7.43,60,2,7,1
STU232,78,75,7.37,6.28,68,3,7,1
STU233,75,59,9.31,6.42,65,3,5,1
STU234,62,72,9.22,6.54,93,0,3,0
STU235,79,82,6.6,9.02,63,0,7,0
STU236,83,96,9.14,7.7,80,3,2,0
STU237,92,76,5.19,6.56,70,1,8,0
STU238,83,75,7.98,8.05,59,2,1,1
STU239,70,60,6.15,8.58,64,0,1,0
STU240,67,55,5.6,6.36,57,1,6,0
STU241,95,59,5.38,7.07,67,4,9,1
STU242,97,95,8.48,5.61,97,0,3,0
STU243,79,66,6.7,5.91,84,1,9,0
STU244,94,80,8.62,8.41,99,1,7,0
STU245,84,88,5.33,5.91,60,2,8,1
STU246,94,68,6.58,7.63,71,2,6,0
STU247,84,80,7.7,8.55,99,4,4,0
STU248,88,81,8.95,5.53,73,1,7,0
STU249,77,63,6.59,7.84,96,1,3,0
STU250,77,80,8.13,6.28,89,2,1,0
STU251,61,76,9.43,9.81,80,0,5,0
STU252,94,84,8.08,7.42,59,0,8,0
STU253,75,97,6.16,9.03,83,3,0,0
STU254,95,71,5.12,7.75,91,2,9,0
STU255,92,80,9.35,5.22,74,3,6,0
STU256,63,90,5.11,8.17,75,2,9,0
STU257,92,55,9.37,9.76,64,4,8,1
STU258,73,62,7.64,8.01,59,1,9,0
STU259,80,89,9.7,9.1,90,4,8,0
STU260,79,69,8.99,9.42,60,2,9,1
STU261,67,76,9.99,6.14,80,1,2,0
STU262,66,68,6.75,6.06,58,0,4,0
STU263,62,80,8.84,8.05,93,0,7,0
STU264,76,82,7.01,7.06,93,3,7,0
STU265,92,77,7.4,9.2,89,2,3,0
STU266,71,68,8.14,9.5,55,2,0,1
STU267,81,78,9.37,6.77,78,0,0,0
STU268,81,56,9.92,6.18,90,4,3,0
STU269,89,80,8.84,8.9,60,1,5,0
STU270,97,68,7.09,6.37,95,4,7,0
STU271,97,61,7.11,9.11,98,4,5,0
STU272,67,57,8.69,7.12,85,0,8,0
STU273,86,77,6.19,8.34,74,0,8,0
STU274,86,97,5.55,5.48,78,0,1,0
STU275,93,72,6.77,8.12,79,3,9,0
STU276,80,92,6.44,7.26,90,4,0,0
STU277,89,89,6.48,7.93,75,2,1,0
STU278,92,69,6.17,5.84,84,1,4,0
STU279,87,79,5.21,8.68,78,3,3,0
STU280,92,91,5.09,9.31,98,2,3,0
STU281,64,82,9.94,6.08,96,4,8,0
STU282,78,64,7.14,5.48,84,0,7,0
STU283,63,93,6.92,5.12,76,4,5,0
STU284,94,71,8.4,8.21,82,1,0,0
STU285,76,93,6.09,8.04,61,3,1,1
STU286,87,76,9.75,7.73,89,3,5,0
STU287,89,80,8.93,6.16,82,1,1,0
STU288,88,79,5.45,6.95,68,2,9,1
STU289,65,71,7.09,7.97,64,2,4,1
STU290,94,67,9.4,7.48,70,3,4,0
STU291,96,74,9.72,9.94,70,3,5,0
STU292,83,79,7.34,5.68,85,0,5,0
STU293,88,58,8.07,8.48,96,2,5,0
STU294,90,64,5.84,7.02,79,1,1,0
STU295,94,57,9.96,7.14,67,2,9,1
STU296,92,95,6.16,8.59,60,0,2,0
STU297,80,72,9.71,8.46,98,3,5,0
STU298,91,90,8.25,9.96,63,3,7,1
STU299,82,76,8.04,5.64,99,0,0,0
STU300,92,88,7.56,5.52,90,1,0,0
STU301,62,62,6.15,8.62,97,3,1,0
STU302,77,94,5.88,7.89,74,4,5,0
STU303,84,73,6.1,6.37,72,3,8,0
STU304,90,96,5.93,5.4,97,4,3,0
STU305,62,95,8.9,5.43,75,0,2,0
STU306,83,91,6.75,9.47,58,0,7,0
STU307,91,60,5.29,5.96,87,3,9,0
STU308,81,80,9.85,6.62,81,2,8,0
STU309,82,88,9.42,6.13,61,4,4,1
STU310,61,60,9.64,6.77,60,1,8,0
STU311,86,91,9.97,5.35,69,3,1,1
STU312,61,87,5.87,7.6,72,1,2,0
STU313,85,76,6.98,5.34,86,3,6,0
STU314,76,75,8.79,9.0,65,2,6,1
STU315,92,60,8.48,6.17,74,2,5,0
STU316,68,60,5.77,7.7,78,2,5,0
STU317,98,58,9.08,9.4,69,2,1,1
STU318,88,84,6.12,8.25,61,0,9,0
STU319,85,65,6.12,7.66,75,0,5,0
STU320,94,84,7.68,6.62,96,4,3,0
STU321,84,85,7.96,6.67,80,1,2,0
STU322,83,78,7.9,8.35,98,3,1,0
STU323,72,63,5.46,9.97,68,3,0,1
STU324,66,57,9.39,8.31,91,0,4,0
STU325,95,85,6.33,7.79,75,3,1,0
STU326,79,94,5.65,8.65,72,0,1,0
STU327,60,91,9.44,7.33,59,4,6,1
STU328,67,90,9.78,5.3,57,1,7,0
STU329,75,78,9.31,7.81,77,4,9,0
STU330,73,85,9.05,9.79,80,2,7,0
STU331,71,60,8.28,5.88,91,2,3,0
STU332,82,56,7.75,8.45,78,2,0,0
STU333,74,74,5.43,6.0,73,4,6,0
STU334,87,82,7.04,7.68,79,3,0,0
STU335,93,65,6.86,5.48,75,1,3,0
STU336,61,58,6.3,7.25,66,2,7,1
STU337,91,69,8.62,8.78,95,2,1,0
STU338,82,60,7.48,6.74,87,2,5,0
STU339,81,84,5.41,8.32,58,1,5,0
STU340,84,92,6.1,8.98,96,2,8,0
STU341,81,56,8.42,9.64,61,1,4,0
STU342,81,69,5.38,6.17,76,2,9,0
STU343,65,65,9.26,7.0,87,4,3,0
STU344,74,62,7.48,5.76,71,4,4,0
STU345,96,80,7.4,9.96,78,1,9,0
STU346,92,59,7.96,9.64,88,4,4,0
STU347,67,60,9.12,7.7,82,1,7,0
STU348,64,80,6.74,9.21,97,4,9,0
STU349,98,58,8.39,7.6,95,4,7,0
STU350,63,73,7.83,8.12,93,1,1,0
STU351,65,74,6.34,5.45,76,3,6,0
STU352,91,87,9.39,8.78,71,4,7,0
STU353,89,74,8.99,5.64,88,2,5,0
STU354,94,66,8.29,9.13,60,3,4,1
STU355,75,55,9.25,8.91,60,1,8,0
STU356,72,80,9.34,8.54,88,3,2,0
STU357,89,68,8.54,5.18,55,0,9,0
STU358,78,92,9.19,6.52,64,0,3,0
STU359,76,91,8.49,6.32,75,4,8,0
STU360,78,65,8.4,6.8,59,4,5,1
STU361,87,90,8.09,5.44,56,2,7,1
STU362,85,67,8.76,9.68,76,3,6,0
STU363,96,97,5.79,7.77,56,0,1,0
STU364,85,57,9.4,6.53,64,4,2,1
STU365,82,87,9.36,6.98,88,3,0,0
STU366,68,60,5.15,7.24,70,4,8,0
STU367,71,64,9.13,8.0,93,4,6,0
STU368,60,59,5.64,7.58,76,0,0,0
STU369,60,77,6.68,9.6,66,0,2,0
STU370,93,64,8.72,7.48,78,4,3,0
STU371,91,56,5.8,9.96,94,1,3,0
STU372,84,67,9.09,9.26,92,4,4,0
STU373,60,94,9.16,6.04,64,4,2,1
STU374,75,56,7.54,9.65,89,2,2,0
STU375,98,74,5.03,5.58,86,2,0,0
STU376,64,55,6.44,9.09,61,2,6,1
STU377,81,91,8.08,6.9,75,1,9,0
STU378,88,63,9.91,9.39,74,1,0,0
STU379,62,71,8.16,9.34,80,4,1,0
STU380,71,63,6.3,9.03,58,2,3,1
STU381,85,65,8.17,8.95,76,1,3,0
STU382,75,69,7.7,6.52,69,0,4,0
STU383,96,78,8.9,5.4,94,4,1,0
STU384,81,92,5.53,7.01,75,3,3,0
STU385,88,89,8.81,5.87,69,4,0,1
STU386,73,84,7.71,8.47,76,3,1,0
STU387,87,85,9.81,6.73,82,2,0,0
STU388,64,59,6.71,9.88,68,3,9,1
STU389,89,68,8.16,8.2,81,2,9,0
STU390,64,65,9.66,9.11,95,0,3,0
STU391,71,63,5.51,5.66,94,3,3,0
STU392,75,88,9.69,9.31,82,4,6,0
STU393,85,66,8.44,9.61,80,2,9,0
STU394,85,89,5.34,7.44,56,4,8,1
STU395,80,89,6.5,8.03,79,1,8,0
STU396,98,55,8.54,8.82,57,2,4,1
STU397,95,94,5.34,5.87,62,3,9,1
STU398,92,76,7.91,7.51,98,2,0,0
STU399,89,83,6.73,6.99,87,4,0,0
STU400,96,62,8.1,5.73,96,0,5,0
STU401,82,65,5.23,6.84,89,2,1,0
STU402,69,95,9.36,5.34,60,3,7,1
STU403,64,91,9.87,5.13,93,1,8,0
STU404,95,68,9.84,5.68,77,0,3,0
STU405,93,84,8.75,9.82,79,1,4,0
STU406,90,89,5.65,7.75,97,2,7,0
STU407,69,75,8.79,9.83,73,4,2,0
STU408,78,91,5.12,7.16,59,4,4,1
STU409,91,59,5.11,6.56,65,3,2,1
STU410,60,73,6.62,7.53,66,4,9,1
STU411,64,68,7.44,7.2,64,0,2,0
STU412,63,80,8.85,5.53,62,4,2,1
STU413,75,58,8.42,8.2,78,3,6,0
STU414,83,79,7.23,6.08,82,2,6,0
STU415,75,96,6.37,8.1,95,2,6,0
STU416,61,79,9.99,8.25,90,4,9,0
STU417,87,72,7.13,5.76,91,1,7,0
STU418,91,94,7.26,5.31,75,2,4,0
STU419,86,62,5.82,8.9,62,4,4,1
STU420,79,93,8.97,7.3,63,3,3,1
STU421,83,94,8.47,5.29,69,4,6,1
STU422,71,68,6.1,9.97,94,2,9,0
STU423,94,86,5.41,5.29,72,3,3,0
STU424,92,92,8.4,8.48,96,4,1,0
STU425,92,87,8.27,9.92,74,0,3,0
STU426,96,77,6.37,6.2,60,3,7,1
STU427,71,69,9.75,5.71,66,0,8,0
STU428,62,87,5.76,5.61,56,1,2,0
STU429,60,79,7.16,6.52,61,3,6,1
STU430,92,71,9.72,5.51,70,0,8,0
STU431,69,87,7.1,8.46,57,2,3,1
STU432,88,56,8.19,5.31,99,2,9,0
STU433,72,68,6.99,7.55,57,1,2,0
STU434,71,94,6.37,9.98,81,3,4,0
STU435,90,94,9.92,9.07,97,3,0,0
STU436,61,93,7.05,8.08,94,3,2,0
STU437,94,60,9.47,6.53,92,1,7,0
STU438,82,60,6.15,8.12,87,3,7,0
STU439,76,57,6.07,7.64,82,2,3,0
STU440,85,61,5.16,7.13,55,0,1,0
STU441,67,62,8.26,5.65,62,2,7,1
STU442,88,96,6.84,9.43,91,2,7,0
STU443,85,69,9.32,7.25,86,0,9,0
STU444,69,83,7.37,5.97,97,2,3,0
STU445,85,87,9.84,6.84,91,1,2,0
STU446,93,84,5.93,7.07,58,0,1,0
STU447,66,93,9.34,9.14,84,2,8,0
STU448,63,81,8.88,8.67,60,4,0,1
STU449,70,90,8.85,8.85,73,2,6,0
STU450,88,83,9.22,5.06,86,1,4,0
STU451,95,92,8.81,7.08,63,3,7,1
STU452,84,87,8.13,7.41,66,2,3,1
STU453,80,91,5.66,5.1,65,3,6,1
STU454,95,81,5.16,6.3,70,4,4,0
STU455,69,87,9.6,8.8,55,2,4,1
STU456,96,58,8.08,5.69,99,0,8,0
STU457,68,76,8.98,7.68,75,3,8,0
STU458,83,56,7.41,6.08,84,4,8,0
STU459,94,64,5.59,5.06,67,0,5,0
STU460,94,59,5.63,6.21,88,0,5,0
STU461,95,64,8.43,9.88,58,0,4,0
STU462,77,87,7.15,9.01,82,0,8,0
STU463,98,92,6.0,9.8,92,2,9,0
STU464,91,67,7.46,7.44,85,2,7,0
STU465,83,85,5.32,5.55,81,2,6,0
STU466,82,90,7.91,7.74,59,4,6,1
STU467,91,78,6.34,7.27,79,4,5,0
STU468,96,69,8.99,9.22,57,4,4,1
STU469,71,83,6.55,5.49,87,1,3,0
STU470,72,62,7.28,7.44,58,4,2,1
STU471,82,59,5.06,5.75,79,2,2,0
STU472,84,83,5.36,6.62,74,2,5,0
STU473,94,58,6.96,8.69,88,1,3,0
STU474,89,66,7.4,7.38,80,1,5,0
STU475,76,56,8.0,6.88,59,4,2,1
STU476,79,81,6.46,6.97,89,3,3,0
STU477,84,85,8.47,7.3,82,1,8,0
STU478,81,90,9.3,8.93,83,0,4,0
STU479,72,90,8.9,9.46,63,2,6,1
STU480,78,80,5.2,9.78,92,0,9,0
STU481,95,97,7.4,8.93,60,2,1,1
STU482,71,81,5.52,6.58,73,2,4,0
STU483,78,59,6.21,8.44,98,1,8,0
STU484,71,74,9.93,7.19,65,1,2,0
STU485,68,65,5.71,6.27,56,0,8,0
STU486,66,64,7.49,9.2,98,2,5,0
STU487,87,94,8.09,5.19,98,0,3,0
STU488,73,92,8.51,9.51,63,3,6,1
STU489,90,60,7.8,7.31,75,0,7,0
STU490,78,62,5.05,8.19,78,4,5,0
STU491,75,77,6.63,8.3,88,0,4,0
STU492,64,80,7.59,9.48,76,4,5,0
STU493,94,97,5.44,8.18,57,4,4,1
STU494,71,66,6.75,8.07,66,4,7,1
STU495,84,80,5.17,5.33,82,3,0,0
STU496,80,67,5.39,7.59,84,0,6,0
STU497,95,94,6.98,5.75,80,0,9,0
STU498,82,72,5.66,8.69,75,3,9,0
STU499,75,79,7.84,7.56,82,2,1,0
STU500,98,87,8.45,8.4,80,1,8,0
